
==== Debug session start 2025-09-20T03:32:39.707006 ====
2025-09-20T03:32:50.621273 RAW CO21: dt=nans resp=ff860811400002001f val_raw=2065
2025-09-20T03:32:50.643533 RAW CO22: dt=nans resp=ff86067140000200c1 val_raw=1649
2025-09-20T03:32:52.719161 RAW CO21: dt=2.098s resp=ff8608984000020098 val_raw=2200
2025-09-20T03:32:52.742040 RAW CO22: dt=2.099s resp=ff86067f40000200b3 val_raw=1663
2025-09-20T03:32:54.773730 RAW CO21: dt=2.055s resp=ff86091c4000020013 val_raw=2332
2025-09-20T03:32:54.796623 RAW CO22: dt=2.055s resp=ff86068d40000200a5 val_raw=1677
2025-09-20T03:32:56.884589 RAW CO21: dt=2.111s resp=ff8609984000020097 val_raw=2456
2025-09-20T03:32:56.906660 RAW CO22: dt=2.110s resp=ff860695400002009d val_raw=1685
2025-09-20T03:32:58.847773 RAW CO21: dt=1.963s resp=ff860a084000020026 val_raw=2568
2025-09-20T03:32:58.870222 RAW CO22: dt=1.964s resp=ff8606ad4000020085 val_raw=1709
2025-09-20T03:33:01.010816 RAW CO21: dt=2.163s resp=ff860a6540000200c9 val_raw=2661
2025-09-20T03:33:01.033558 RAW CO22: dt=2.163s resp=ff8606c5400002006d val_raw=1733
2025-09-20T03:33:03.169960 RAW CO21: dt=2.159s resp=ff860aee4000020040 val_raw=2798
2025-09-20T03:33:03.192505 RAW CO22: dt=2.159s resp=ff8606d94000020059 val_raw=1753
2025-09-20T03:33:05.398415 RAW CO21: dt=2.228s resp=ff860b3140000200fc val_raw=2865
2025-09-20T03:33:05.420379 RAW CO22: dt=2.228s resp=ff8606f04000020042 val_raw=1776
2025-09-20T03:33:07.621784 RAW CO21: dt=2.223s resp=ff860b6b40000200c2 val_raw=2923
2025-09-20T03:33:07.644624 RAW CO22: dt=2.224s resp=ff86071e4000020013 val_raw=1822
2025-09-20T03:33:09.800128 RAW CO21: dt=2.178s resp=ff860b994000020094 val_raw=2969
2025-09-20T03:33:09.822801 RAW CO22: dt=2.178s resp=ff86073c40000200f5 val_raw=1852
2025-09-20T03:33:12.037682 RAW CO21: dt=2.238s resp=ff860bc54000020068 val_raw=3013
2025-09-20T03:33:12.059872 RAW CO22: dt=2.237s resp=ff86075c40000200d5 val_raw=1884
2025-09-20T03:33:14.257114 RAW CO21: dt=2.219s resp=ff860c054000020027 val_raw=3077
2025-09-20T03:33:14.278885 RAW CO22: dt=2.219s resp=ff86078a40000200a7 val_raw=1930
2025-09-20T03:33:16.203426 RAW CO21: dt=1.946s resp=ff860c164000020016 val_raw=3094
2025-09-20T03:33:16.225545 RAW CO22: dt=1.947s resp=ff8607bd4000020074 val_raw=1981
2025-09-20T03:33:18.259984 RAW CO21: dt=2.057s resp=ff860c2f40000200fd val_raw=3119
2025-09-20T03:33:18.282847 RAW CO22: dt=2.057s resp=ff8607f4400002003d val_raw=2036
2025-09-20T03:33:20.417353 RAW CO21: dt=2.157s resp=ff860c4d40000200df val_raw=3149
2025-09-20T03:33:20.440244 RAW CO22: dt=2.157s resp=ff86083e40000200f2 val_raw=2110
2025-09-20T03:33:22.515073 RAW CO21: dt=2.098s resp=ff860c5d40000200cf val_raw=3165
2025-09-20T03:33:22.536966 RAW CO22: dt=2.097s resp=ff8608cc4000020064 val_raw=2252
2025-09-20T03:33:24.464381 RAW CO21: dt=1.949s resp=ff860c6c40000200c0 val_raw=3180
2025-09-20T03:33:24.486886 RAW CO22: dt=1.950s resp=ff8608fb4000020035 val_raw=2299
2025-09-20T03:33:26.427655 RAW CO21: dt=1.963s resp=ff860c7540000200b7 val_raw=3189
2025-09-20T03:33:26.449759 RAW CO22: dt=1.963s resp=ff86095a40000200d5 val_raw=2394
2025-09-20T03:33:28.526775 RAW CO21: dt=2.099s resp=ff860c8840000200a4 val_raw=3208
2025-09-20T03:33:28.549230 RAW CO22: dt=2.099s resp=ff860a0c4000020022 val_raw=2572
2025-09-20T03:33:30.643633 RAW CO21: dt=2.117s resp=ff860c8840000200a4 val_raw=3208
2025-09-20T03:33:30.666591 RAW CO22: dt=2.117s resp=ff860a7640000200b8 val_raw=2678
2025-09-20T03:33:32.892313 RAW CO21: dt=2.249s resp=ff860c7840000200b4 val_raw=3192
2025-09-20T03:33:32.914389 RAW CO22: dt=2.248s resp=ff860ad0400002005e val_raw=2768
2025-09-20T03:33:34.917797 RAW CO21: dt=2.025s resp=ff860c4140000200eb val_raw=3137
2025-09-20T03:33:34.940031 RAW CO22: dt=2.026s resp=ff860b23400002000a val_raw=2851
2025-09-20T03:33:37.009691 RAW CO21: dt=2.092s resp=ff860bee400002003f val_raw=3054
2025-09-20T03:33:37.031656 RAW CO22: dt=2.092s resp=ff860b6540000200c8 val_raw=2917
2025-09-20T03:33:39.311993 RAW CO21: dt=2.302s resp=ff860b9e400002008f val_raw=2974
2025-09-20T03:33:39.334890 RAW CO22: dt=2.303s resp=ff860b8f400002009e val_raw=2959
2025-09-20T03:33:41.386856 RAW CO21: dt=2.075s resp=ff860b3f40000200ee val_raw=2879
2025-09-20T03:33:41.409540 RAW CO22: dt=2.075s resp=ff860bc44000020069 val_raw=3012
2025-09-20T03:33:43.401236 RAW CO21: dt=2.014s resp=ff860ae4400002004a val_raw=2788
2025-09-20T03:33:43.423093 RAW CO22: dt=2.014s resp=ff860bf74000020036 val_raw=3063
2025-09-20T03:33:45.384501 RAW CO21: dt=1.983s resp=ff860a7a40000200b4 val_raw=2682
2025-09-20T03:33:45.407164 RAW CO22: dt=1.984s resp=ff860c144000020018 val_raw=3092
